"S(2,0)AngScMom","S(2,0)Contrast","S(2,0)Correlat","S(2,0)SumOfSqs","S(2,0)InvDfMom","S(2,0)SumAverg","S(2,0)SumVarnc","S(2,0)SumEntrp","S(2,0)Entropy","S(2,0)DifVarnc","S(2,0)DifEntrp","S(0,2)AngScMom","S(0,2)Contrast","S(0,2)Correlat","S(0,2)SumOfSqs","S(0,2)InvDfMom","S(0,2)SumAverg","S(0,2)SumVarnc","S(0,2)SumEntrp","S(0,2)Entropy","S(0,2)DifVarnc","S(0,2)DifEntrp","S(2,2)AngScMom","S(2,2)Contrast","S(2,2)Correlat","S(2,2)SumOfSqs","S(2,2)InvDfMom","S(2,2)SumAverg","S(2,2)SumVarnc","S(2,2)SumEntrp","S(2,2)Entropy","S(2,2)DifVarnc","S(2,2)DifEntrp","S(2,-2)AngScMom","S(2,-2)Contrast","S(2,-2)Correlat","S(2,-2)SumOfSqs","S(2,-2)InvDfMom","S(2,-2)SumAverg","S(2,-2)SumVarnc","S(2,-2)SumEntrp","S(2,-2)Entropy","S(2,-2)DifVarnc","S(2,-2)DifEntrp","Label"
"0.0033773829","22.220314","0.81864288","61.261212","0.28483611","52.186698","222.82453","1.7261732","2.6295592","10.548453","1.0042278","0.004879687","10.134812","0.9164065","60.619618","0.36365004","51.486007","232.34366","1.7272658","2.4768024","4.8369595","0.84285511","0.0029318838","26.498975","0.78504338","61.637961","0.24414089","52.500466","220.05287","1.7250868","2.6751748","11.539794","1.0468111","0.0027172116","33.245697","0.73312213","62.286351","0.2157174","52.499716","215.89971","1.7230694","2.7104191","14.379844","1.0896114","0"
"0.010316992","6.0789855","0.85628639","21.149651","0.44093819","33.529167","78.51962","1.5071399","2.1628256","3.0095069","0.74443947","0.010133404","4.9920506","0.88163926","21.088286","0.43743481","33.480578","79.361095","1.5048735","2.1451807","2.1865012","0.72051323","0.0080282288","9.1921661","0.78398921","21.277099","0.35951149","33.760736","75.916231","1.5017896","2.2554433","4.1185109","0.82854437","0.0076649042","10.010587","0.76770525","21.547166","0.35585507","33.871415","76.178076","1.5044504","2.2765026","4.5181279","0.84950704","0"
"0.014891727","6.5526369","0.80447938","16.756895","0.46624624","28.750153","60.474941","1.4243096","2.059623","3.5272616","0.75649906","0.02029645","3.6729112","0.88623217","16.142134","0.565262","28.359311","60.895624","1.4206028","1.9091954","2.2273307","0.61532774","0.012045975","9.8779646","0.70940222","16.99594","0.39881529","28.955153","58.105794","1.4201508","2.1386193","5.1919252","0.82570789","0.012475394","8.825557","0.73826096","16.859458","0.40736623","28.869693","58.612276","1.4186578","2.1217181","4.5241612","0.81062015","0"
"0.0067471276","25.960759","0.84560514","84.072616","0.37798827","48.627669","310.3297","1.7210465","2.5452335","15.072807","0.99450279","0.010638234","4.9534684","0.96986688","82.193083","0.53088619","47.836367","323.81886","1.7096353","2.2721895","2.8776722","0.68666236","0.0060169357","28.135946","0.83406689","84.78099","0.34220014","48.986874","310.98801","1.7246076","2.5818582","15.553608","1.0268595","0.0052597697","32.417033","0.81007604","85.342135","0.31434868","49.263349","308.95151","1.7259121","2.6191069","17.282328","1.0627801","0"
"0.0030138215","41.090409","0.83502065","124.53198","0.29517942","69.714165","457.0375","1.8656387","2.8033738","22.025897","1.108722","0.004977847","7.7997984","0.96887361","125.29237","0.46065694","68.082056","493.36968","1.8699634","2.5281044","4.3795359","0.77954319","0.0026973702","41.911585","0.8278159","121.70573","0.23478538","69.955575","444.91135","1.8568985","2.8225639","19.781445","1.1312949","0.0026162064","51.172024","0.79192841","122.96735","0.2481065","70.145201","440.69738","1.8602203","2.8537394","26.595839","1.1592456","0"
"0.018644751","1.2203679","0.97283481","22.461978","0.69661051","55.317088","88.627546","1.5549387","1.8604562","0.74606475","0.45132982","0.017370303","1.6647878","0.96275778","22.350811","0.65954868","55.396897","87.738455","1.5542135","1.9266024","0.98871076","0.51177555","0.013149103","2.5520256","0.94275405","22.290009","0.57608373","55.471442","86.60801","1.553695","2.0224956","1.3836047","0.57874161","0.013108459","2.3852418","0.94651551","22.298443","0.57621809","55.456865","86.808528","1.5542563","2.0164179","1.2561838","0.56947589","0"
"0.01858948","7.9598909","0.94448396","71.690013","0.54174121","99.355455","278.80016","1.6852197","2.2605861","5.4828728","0.72968741","0.016778475","8.3052841","0.94265955","72.420808","0.52754659","99.229425","281.37795","1.7003275","2.2910308","5.460635","0.76031442","0.014800254","14.749732","0.89650746","71.259883","0.42890193","99.618352","270.2898","1.6939397","2.4156682","9.0591649","0.88457076","0.014993623","14.244472","0.89981706","71.092304","0.43190856","99.63283","270.12475","1.6928153","2.4075737","8.7874221","0.87664182","0"
"0.011088495","3.0890711","0.96733778","47.288141","0.59164794","63.119683","186.06349","1.6630834","2.1112997","1.9524256","0.57681475","0.012964777","2.0791477","0.97804","47.339422","0.61966508","63.080519","187.27854","1.6624358","2.0727696","1.193311","0.54417178","0.0088136247","4.3146459","0.95414793","47.049628","0.50431859","63.343367","183.88387","1.6623484","2.2096794","2.4063719","0.65115224","0.0086536469","4.8550651","0.94853824","47.171584","0.49873491","63.318402","183.83127","1.6627835","2.2312408","2.7606912","0.67382912","0"
"0.011136342","1.7251033","0.98114607","45.749171","0.62672786","69.369145","181.27158","1.6836906","2.0724669","0.93364229","0.51954977","0.010233341","2.087654","0.97711905","45.619912","0.59079714","69.441739","180.392","1.6831867","2.1205298","1.0684018","0.5587957","0.0077694906","3.439392","0.96210567","45.38135","0.50722799","69.645278","178.08601","1.6815004","2.2297925","1.6469802","0.64588591","0.0078632332","3.2465674","0.9641666","45.300859","0.50759104","69.643039","177.95687","1.6811367","2.2208617","1.5112359","0.63696468","0"
"0.008327763","18.773878","0.76149778","39.357868","0.3182132","32.267192","138.6576","1.5515467","2.3588202","9.4661335","0.95970005","0.013710325","6.8610572","0.90780744","37.210469","0.47605331","31.587702","141.98082","1.5377936","2.1447981","3.9933871","0.73123996","0.0071481672","21.71526","0.73244412","40.580794","0.27480153","32.63239","140.60792","1.5565252","2.4071324","10.003924","1.000166","0.0069596287","27.047089","0.66915867","40.876225","0.27575741","32.667788","136.45781","1.5572025","2.4303816","13.81933","1.0263307","0"
