"GrMean","GrVariance","GrSkewness","GrKurtosis","GrNonZeros","Label"
"0.12102671","0.16267902","3.6309992","14.261927","0.09261741","1"
"1.2578357","0.88306256","0.88833842","1.7720491","0.79033175","0"
"0.11886092","0.1387847","3.1112272","9.0131466","0.098333771","1"
"0.75842878","0.47336136","0.34097608","-0.3785999","0.59903428","0"
"0.045906683","0.052321918","5.0517064","25.296247","0.040323998","1"
"0.6578588","0.50739274","0.75664588","0.24321058","0.51581197","0"
"0.16133357","0.17811549","2.5285506","5.6691836","0.13590007","1"
"1.0723855","1.1370335","1.019746","1.0670321","0.6337386","0"
"0.16453648","0.18808533","2.6213713","6.5152376","0.13579571","1"
"1.3487666","1.5716256","1.3260732","2.4285724","0.72787318","0"
"0.16454011","0.22415357","3.0673391","9.6074841","0.12183709","1"
"0.34329412","0.29996522","1.2395807","0.71938612","0.29785607","0"
"0.35475293","0.82225294","3.2423976","11.786149","0.18452175","1"
"0.6877728","0.75594227","1.8606971","6.4015008","0.49110782","0"
"0.4019317","0.52293016","2.1349856","5.5408904","0.28961258","1"
"0.44343923","0.39194768","1.4937671","4.4593022","0.37284011","0"
"0.23339643","0.38464639","2.9319352","8.7137393","0.1487562","1"
"0.40693208","0.32552172","0.87740765","-0.67633671","0.35285344","0"
"0.092580842","0.10404773","3.4520811","11.189759","0.079944371","1"
"1.0391891","0.91726763","1.0684442","2.0378655","0.673072","0"
"0.11006288","0.13324656","3.4560648","12.281715","0.090403276","1"
"1.0595139","1.0772027","0.89066898","0.44440023","0.63555303","0"
"0.10602705","0.14174921","3.8797222","16.245724","0.082298682","1"
"0.82526963","0.90983307","1.3800292","2.88177","0.54021609","0"
"0.10903494","0.13573486","3.5362868","12.762123","0.087918899","1"
"0.89742904","0.99194169","1.2086855","1.5405897","0.56669856","0"
"0.050596446","0.058006327","4.954553","25.386685","0.044720324","1"
"0.80324409","1.2087225","1.5150571","2.1560533","0.4583501","0"
"0.093172877","0.14235715","4.5169066","22.077305","0.066123691","1"
"0.70789466","1.5204395","2.2182747","5.0092364","0.36369156","0"
"0.038374533","0.046215838","5.8220664","34.900618","0.032574149","1"
"1.0636408","0.7790259","0.81863649","2.4585167","0.70181143","0"
"0.025808266","0.063469046","12.220819","170.66703","0.013983735","1"
"1.1447013","2.116446","0.93783546","-0.39856273","0.46079112","0"
"0.058809011","0.069153042","4.5361021","20.427434","0.049895924","1"
"0.52722815","0.4260509","0.77214873","-0.40599915","0.42501595","0"
"0.11380784","0.21503197","4.8430135","26.334527","0.070155505","1"
"0.61332139","0.64607007","1.4107646","3.239746","0.43428854","0"
"0.10215923","0.11896769","3.4890848","12.653471","0.086366891","1"
"0.86633518","0.81396078","1.154445","2.133955","0.59198543","0"
"0.054377999","0.0650856","4.8256629","23.527785","0.045875804","1"
"0.85040332","0.89822699","1.1376489","1.2071698","0.5544518","0"
"0.1617963","0.21897175","3.2639004","12.266036","0.12258618","1"
"0.51199991","0.45920757","1.1769145","1.3865751","0.41005018","0"
"0.15416094","0.18880966","2.9351274","8.9523743","0.12271301","1"
"0.58492433","0.48506267","0.98848836","0.92732622","0.46688431","0"
"0.090065863","0.11504576","3.9220007","15.417465","0.07156332","1"
"0.94254378","0.66402549","0.58301602","0.30406335","0.6646606","0"
