"Mean","Variance","Skewness","Kurtosis","Perc.01%","Perc.10%","Perc.50%","Perc.90%","Perc.99%","Label"
"98.774731","983.38188","0.92814986","0.43272504","58","64","92","145","191","0"
"63.749537","336.54142","1.025335","0.94298773","40","43","60","89","120","0"
"53.845524","259.39609","1.1846977","1.1804645","34","37","49","76","106","0"
"91.412044","1304.3289","1.1218497","0.61919573","52","56","80","140","196","0"
"131.39734","2128.4014","0.44473162","-0.49410776","64","73","135","191","242","0"
"108.72736","363.56375","0.34734113","-0.69664169","76","85","107","137","152","0"
"195.79622","1220.3095","0.20829177","-0.71281592","127","153","193","256","256","0"
"123.52621","767.17088","0.67956621","-0.5985833","87","91","116","169","185","0"
"136.34302","746.35984","0.22899001","-1.1107625","92","101","132","176","189","0"
"59.013252","560.05136","1.9553065","5.3184174","36","39","51","91","141","0"
"89.121837","1422.5946","1.2209815","0.48289836","54","56","75","153","198","0"
"95.753597","1067.5812","0.68749796","-0.53619955","54","59","89","149","172","0"
"5.1646874","122.05147","2.8840965","7.6285633","1","1","1","19","51","1"
"5.2915489","92.349871","2.1922049","3.5031144","1","1","1","23","38","1"
"2.795171","30.834459","3.5059597","12.060534","1","1","1","7","29","1"
"8.9398173","147.55414","1.5201637","1.3499986","1","1","1","28","47","1"
"8.7380045","170.45968","1.8630754","2.9181021","1","1","1","28","56","1"
"10.814631","406.64607","2.0222519","2.7675805","1","1","1","46","74","1"
"15.530382","916.49367","2.0589082","3.0520638","1","1","1","67","117","1"
"37.531334","1221.6584","0.10724949","-1.7853013","1","1","34","82","85","1"
"13.925935","695.98978","1.8775074","2.008237","1","1","1","66","90","1"
"4.7523048","63.124003","2.1994674","3.8116684","1","1","1","18","33","1"
"7.6807131","190.67708","1.9319192","2.2851092","1","1","1","34","50","1"
"6.9596143","166.53088","2.0438615","2.8138019","1","1","1","31","50","1"
"6.1184736","120.70746","2.2280592","4.0146522","1","1","1","24","46","1"
"90.438206","1113.6565","0.76795247","-0.39736224","50","54","85","148","168","0"
"3.5978388","65.460524","3.1460696","8.7411438","1","1","1","9","38","1"
"77.753717","1406.324","0.77871036","-0.98342284","42","43","60","141","152","0"
"4.7165484","143.60923","3.5862533","12.266972","1","1","1","12","62","1"
"95.540941","1538.2703","1.7974479","2.0855009","67","68","77","169","216","0"
"2.6198359","31.004889","4.0225867","16.435999","1","1","1","5","32","1"
"68.875596","669.61572","0.96684403","1.0250347","38","42","63","102","145","0"
"1.7047005","36.906858","12.349439","174.71354","1","1","1","1","21","1"
"224.69421","1678.1869","-1.205115","0.14534341","120","154","245","256","256","0"
"4.288671","68.590999","2.8504146","7.7969475","1","1","1","16","40","1"
"74.943557","432.59923","0.90119073","0.39235983","46","51","72","107","135","0"
"6.3724553","241.03994","3.0645715","8.564584","1","1","1","24","73","1"
"131.30022","771.82419","0.0023153963","-0.070143335","78","88","135","165","198","0"
"8.4511909","77.702129","1.4519132","2.4743304","1","1","5","21","39","1"
"111.23972","837.40414","-0.11737125","-0.47439945","53","67","115","148","174","0"
"3.5442299","54.914829","3.247584","10.078958","1","1","1","10","36","1"
"69.618084","842.48353","1.4119239","1.0873126","43","44","59","119","153","0"
"11.171807","446.67837","2.0006706","2.7098779","1","1","1","50","81","1"
"141.68598","582.14979","-0.48723519","-0.44949311","87","103","145","171","184","0"
"12.028833","491.98559","1.9157295","2.3271087","1","1","1","52","82","1"
"144.41223","966.71814","-0.21394503","-1.2374396","88","100","147","183","194","0"
"4.2253291","82.09216","2.9721081","7.8998811","1","1","1","15","42","1"
"77.726873","526.81147","0.53547054","-0.54554603","46","50","75","111","133","0"
