Horzl_RLNonUni,Horzl_GLevNonU,Horzl_LngREmph,Horzl_ShrtREmp,Horzl_Fraction,Vertl_RLNonUni,Vertl_GLevNonU,Vertl_LngREmph,Vertl_ShrtREmp,Vertl_Fraction,45dgr_RLNonUni,45dgr_GLevNonU,45dgr_LngREmph,45dgr_ShrtREmp,45dgr_Fraction,135dr_RLNonUni,135dr_GLevNonU,135dr_LngREmph,135dr_ShrtREmp,135dr_Fraction,Label
4352.6802,666.46777,1333.4584,0.72875794,0.12663086,3816.6297,638.43629,1335.5709,0.70083508,0.11995429,5501.4458,813.59869,590.40179,0.75392815,0.14840454,5546.7009,818.78837,547.22951,0.75567641,0.14889172,1
3604.5789,222.11759,1.994326,0.86491794,0.80172549,2831.3487,200.26567,2.7588376,0.81166143,0.7196816,4055.6649,235.13551,1.6421696,0.88957896,0.84657577,4292.2793,237.78195,1.5388798,0.9035954,0.86690761,0
4140.3883,935.29184,901.57416,0.69971868,0.14326234,3966.7544,935.14089,880.08942,0.68389464,0.14325887,5329.5671,1138.1436,350.30674,0.72081561,0.17271746,5579.805,1142.6552,401.10638,0.73444497,0.17427009,1
4102.0664,549.08267,3.574524,0.74480242,0.64548468,4394.9744,566.75154,3.5326274,0.76428408,0.65595219,5674.9487,641.81843,2.3058289,0.81192314,0.74801812,5841.3604,647.83546,2.2799184,0.82009565,0.75441296,0
1848.9975,746.98762,1977.3713,0.59312861,0.080288448,1805.5089,725.81803,1671.5661,0.59729262,0.077184163,2952.9178,1005.5787,750.41559,0.65844601,0.10449628,2959.6241,973.13615,762.5935,0.66612288,0.10242473,1
1895.0159,302.12836,4.236972,0.74934607,0.62581531,1140.2603,254.37621,6.2532663,0.6375781,0.51465517,2467.4042,359.98346,2.5787581,0.79787405,0.7216263,2414.3852,355.8098,2.7343523,0.79397905,0.71228616,0
5416.9444,1435.1575,244.71361,0.60915642,0.22365994,3596.9906,1271.0233,396.26027,0.52317669,0.19103208,7689.2542,1785.7547,132.65066,0.66180956,0.27094293,8053.4737,1802.5983,122.35267,0.67324193,0.27461214,1
2759.3642,192.722,3.1927438,0.81787212,0.70155902,1432.7812,153.09493,5.8894458,0.67437675,0.53884035,3078.3088,205.8329,2.5680842,0.83915319,0.74460259,3365.1575,218.68706,2.3191401,0.85860906,0.77358491,0
5409.1244,1218.255,388.8766,0.62731251,0.20766845,4124.3862,1105.5355,535.49243,0.57270886,0.1860642,7840.1037,1510.8211,201.98462,0.68955687,0.25126925,7810.7805,1521.7046,185.17193,0.68706128,0.25199137,1
2950.3375,118.53616,2.3322083,0.86671012,0.77794449,1766.402,97.503753,4.1612128,0.75655964,0.62389961,3410.0566,128.43796,1.7263581,0.89466148,0.84142212,3416.0354,128.87752,1.7969942,0.89629662,0.83686878,0
2777.647,378.56808,659.33545,0.67414384,0.16032925,2336.2554,332.68321,642.85124,0.64173478,0.14829883,4051.1191,452.00459,264.25673,0.73504172,0.19622118,4051.6468,487.53494,183.28742,0.72121756,0.2028694,1
2568.7715,725.26382,15.129255,0.43258225,0.34263447,3897.1189,777.52803,11.999712,0.53466767,0.39576807,6620.9493,1035.0815,6.1618452,0.6262956,0.51034601,6495.3995,1038.1417,6.1465898,0.61886217,0.50931836,0
5748.2301,355.81112,396.5911,0.78569215,0.20630815,4770.4405,299.02267,578.55396,0.76219409,0.18352785,6743.6127,430.93018,157.97294,0.80054965,0.23078524,6714.7179,423.37441,166.9452,0.80187584,0.22953213,1
6809.661,569.6727,20.006938,0.70744055,0.5181139,7294.6951,551.58758,8.6013576,0.72103535,0.5344275,11148.006,704.24795,5.4673866,0.80372647,0.6524343,10990.633,694.13871,5.7207305,0.80091101,0.64809074,0
3591.8563,663.67605,63.265027,0.61378718,0.31143724,3904.242,624.46565,166.72246,0.64439351,0.31095016,6165.7004,842.95426,40.826976,0.72243453,0.39367869,5958.5082,846.28637,32.318902,0.70885006,0.39365557,1
6750.4895,1008.015,8.1022425,0.58788768,0.46427838,5358.9648,834.69869,9.563041,0.5376369,0.42511028,11175.865,1218.5001,4.4658173,0.68597494,0.58288587,11613.735,1218.8335,4.4173061,0.69611917,0.58951456,0
3857.2029,333.63706,1053.1258,0.74682836,0.16848812,3519.2311,327.59872,516.55556,0.72687656,0.16267271,5574.826,441.80417,259.99431,0.79665828,0.2108446,5575.8487,427.44577,313.66453,0.80248302,0.20838245,1
3857.9376,591.19824,9.6178755,0.52606092,0.42241753,5145.8278,641.17574,7.4177306,0.59079635,0.47551495,8527.5705,807.60097,4.3620509,0.69430968,0.58975153,8409.7418,804.44169,4.3602635,0.69017946,0.58833561,0
4238.6039,1329.4387,745.92545,0.64950806,0.15338246,2462.4458,1070.6008,1037.5748,0.54051538,0.12349198,5251.1855,1547.1525,299.85943,0.67318544,0.17710675,5388.7562,1562.9037,327.80794,0.67741373,0.17941322,1
2869.6067,301.01536,2.2344612,0.85496641,0.77525581,1628.2926,241.75899,4.0425659,0.7261585,0.61709212,3093.7978,321.27951,1.884721,0.86663086,0.81173413,3158.362,322.0744,1.821843,0.87252209,0.81980974,0
3261.6155,689.05471,867.98989,0.62017076,0.13074581,2606.882,642.39139,1044.0048,0.56799105,0.12157335,4806.1176,863.40343,423.5173,0.67776816,0.16246478,5130.0455,894.6527,406.95614,0.68969797,0.16742114,1
